gdp,popdens,medianage,landarea,humidity,temp,ghsi,sars,covidpercapita
15,3.00,22,823290,49.7,27.3,35.6,0,2.84248912
29,203.00,25,143350,66.6,18.9,35.1,0,0
951,508.00,43,33720,78.1,9,75.6,0,0.6913295863
215,18.00,38,263310,78.2,19.1,54,0,6.79435525
12.5,55.00,26,120340,63,25,43.1,0,0.2150695815
9.5,19.00,15,1266700,20,27,32.2,0,7.076762428
410,226.00,18,910770,18.2,39.9,37.8,0,5.522258568
12.672,83.00,39,25220,68.5,9.7,39.1,0,17.84845325
450,15.00,40,365268,79.4,2.4,64.6,0,76.44870292
79.5,16.00,31,309500,56.1,24.2,43.1,0,0
320,287.00,23,770880,53,20.9,35.5,0,7.960946779
70,58.00,30,74340,77.9,31.5,43.7,0,3.928415066
24,20.00,22,452860,78,26,27.8,0,0
42,18.00,26,39730,51,36.9,35.7,0,0
220,26.00,31,1280000,74.7,25.9,49.2,0,0
356,368.00,26,298170,65.9,30.9,47.6,2,229.2984739
605,124.00,42,306230,70.8,7.1,55.4,0,2.695846509
245,111.00,46,91590,75.6,17.3,60.3,0,0.3019071171
201,248.00,32,11610,56.9,22.9,41.2,0,0.8262194462
250,84.00,43,230170,62.4,11.4,45.8,0,0.1067237987
1750,9.00,40,16376870,85.4,2.02,44.3,0,26.39948468
9.8,525.00,20,24670,81.1,26.5,34.2,0,33.571649
1.922,301.00,34,610,75.3,27.1,41.96,0,1.56659211
0.3,284.00,33,390,75.9,26.3,41.96,0,0.9099455418
1.638,566.00,47,60,78,6,31.1,0,31.51966259
785,16.00,32,2149690,26.6,24.5,49.3,0,0
23.5,87.00,19,192530,63.5,24,37.9,0,1.121620383
53,100.00,42,87460,63.9,11.5,52.3,0,14.67918668
1.6,214.00,34,460,43.8,20.8,31.9,0,3.987914775
382,8358.00,42,700,76.5,30.2,58.7,32,10.59540047
111,114.00,41,48088,71.8,9,47.9,0,74.72999377
59,103.00,45,20140,79.5,9,67.2,0,3.123857839
7.7,25.00,17,627340,76.1,29.2,16.6,0,25.88668255
350,49.00,28,1213090,47.7,29.8,54.8,1,3.124690315
1460,94.00,34,498800,65.9,16.4,65.9,0,0
91,341.00,34,62710,75.2,32.3,33.9,0,0
55,25.00,20,1765048,30.6,38,26.2,0,0
3.6,4.00,29,156000,75.9,29.9,36.5,0,0
575,25.00,41,410340,76.6,4.7,72.1,0,1178.862987
715,219.00,43,39516,78.6,9.5,67,0,0
605,673.00,42,35410,71.6,20.9,48.2,84,3.130935942
59,67.00,18,885800,87,25.9,36.4,0,0.2986157309
520,137.00,40,510890,53.9,35,73.2,2,14.30636286
5.4,152.00,19,54390,68.2,32.8,32.5,0,0
21,273.00,36,5130,74,17,36.1,0,0
40,76.00,33,155360,67.6,18.5,33.7,0,1.880231959
740,110.00,32,769630,67.5,8.7,52.4,0,2.564270698
28.5,229.00,17,199810,77,23,44.3,0,37.03814159
140,75.00,41,579320,74.6,6.4,38,0,0.5033592307
425,118.00,33,83600,92.3,21.9,46.7,0,0.9779342622
